model,train_type,train_data,architecture,model_class,task_cluster,model_display_name,description,model_source,model_source_url,weights_url
skresnet18,random,,skresnet18,Convolutional,Semantic,SKResNet18,"SKResNet18 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
skresnext50_32x4d,random,,skresnext50_32x4d,Convolutional,Semantic,SKResNext50-32x4D,"SKResNext50-32x4D randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
spnasnet_100,random,,spnasnet_100,Convolutional,Semantic,SPNasNet100,"SPNasNet100 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
swin_base_patch4_window7_224,random,,swin_base_patch4_window7_224,Transformer,Semantic,Swin-B-P4-W7,"Swin-B-P4-W7 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
swin_large_patch4_window7_224,random,,swin_large_patch4_window7_224,Transformer,Semantic,Swin-L-P4-W7,"Swin-L-P4-W7 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
swin_small_patch4_window7_224,random,,swin_small_patch4_window7_224,Transformer,Semantic,Swin-S-P4-W7,"Swin-S-P4-W7 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
swin_tiny_patch4_window7_224,random,,swin_tiny_patch4_window7_224,Transformer,Semantic,Swin-T-P4-W7,"Swin-T-P4-W7 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b0,random,,tf_efficientnet_b0,Convolutional,Semantic,TF-EfficientNet-B0,"TF-EfficientNet-B0 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b1,random,,tf_efficientnet_b1,Convolutional,Semantic,TF-EfficientNet-B1,"TF-EfficientNet-B1 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b2,random,,tf_efficientnet_b2,Convolutional,Semantic,TF-EfficientNet-B2,"TF-EfficientNet-B2 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b3,random,,tf_efficientnet_b3,Convolutional,Semantic,TF-EfficientNet-B3,"TF-EfficientNet-B3 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b4,random,,tf_efficientnet_b4,Convolutional,Semantic,TF-EfficientNet-B4,"TF-EfficientNet-B4 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b5,random,,tf_efficientnet_b5,Convolutional,Semantic,TF-EfficientNet-B5,"TF-EfficientNet-B5 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b6,random,,tf_efficientnet_b6,Convolutional,Semantic,TF-EfficientNet-B6,"TF-EfficientNet-B6 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
tf_efficientnet_b7,random,,tf_efficientnet_b7,Convolutional,Semantic,TF-EfficientNet-B7,"TF-EfficientNet-B7 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
tnt_s_patch16_224,random,,tnt_s_patch16_224,Transformer,Semantic,TnT-P16-224,"TnT-P16-224 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
tresnet_l,random,,tresnet_l,Convolutional,Semantic,TResNet-L,"TResNet-L randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
twins_pcpvt_base,random,,twins_pcpvt_base,Transformer,Semantic,Twins-PCPVT-B,"Twins-PCPVT-B randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
twins_svt_base,random,,twins_svt_base,Transformer,Semantic,Twins-SVT-B,"Twins-SVT-B randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
visformer_small,random,,visformer_small,Transformer,Semantic,Visformer,"Visformer randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
vit_large_patch16_224,random,,vit_large_patch16_224,Transformer,Semantic,ViT-L-P16,"ViT-L-P16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
vit_small_patch16_224,random,,vit_small_patch16_224,Transformer,Semantic,ViT-S-P16,"ViT-S-P16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
vit_tiny_patch16_224,random,,vit_tiny_patch16_224,Transformer,Semantic,ViT-T-P16,"ViT-T-P16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
vit_base_patch16_224,random,,vit_base_patch16_224,Transformer,Semantic,ViT-B-P16,"ViT-B-P16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
vit_base_patch32_224,random,,vit_base_patch32_224,Transformer,Semantic,ViT-B-P32,"ViT-B-P32 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
vit_large_patch32_224,random,,vit_large_patch32_224,Transformer,Semantic,ViT-L-P32,"ViT-L-P32 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
vit_small_patch32_224,random,,vit_small_patch32_224,Transformer,Semantic,ViT-S-P32,"ViT-S-P32 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
volo_d1_224,random,,volo_d1_224,Transformer,Semantic,VoLo-D1,"VoLo-D1 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
volo_d3_224,random,,volo_d3_224,Transformer,Semantic,VoLo-D3,"VoLo-D3 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
volo_d5_224,random,,volo_d5_224,Transformer,Semantic,VoLo-D5,"VoLo-D5 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
xception,random,,xception,Convolutional,Semantic,XCeption,"XCeption randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
xception65,random,,xception65,Convolutional,Semantic,XCeption65,"XCeption65 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
xcit_nano_12_p8_224,random,,xcit_nano_12_p8_224,Transformer,Semantic,XCIT-N-12-P8,"XCIT-N-12-P8 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
xcit_small_12_p8_224,random,,xcit_small_12_p8_224,Transformer,Semantic,XCIT-S-12-P8,"XCIT-S-12-P8 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
xcit_medium_24_p8_224,random,,xcit_medium_24_p8_224,Transformer,Semantic,XCIT-M-24-P8,"XCIT-M-24-P8 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
xcit_nano_12_p16_224,random,,xcit_nano_12_p16_224,Transformer,Semantic,XCIT-N-12-P16,"XCIT-N-12-P16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
xcit_small_12_p16_224,random,,xcit_small_12_p16_224,Transformer,Semantic,XCIT-S-12-P16,"XCIT-S-12-P16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
xcit_medium_24_p16_224,random,,xcit_medium_24_p16_224,Transformer,Semantic,XCIT-M-24-P16,"XCIT-M-24-P16 randomly initialized, with no training.",timm,https://github.com/rwightman/pytorch-image-models/,
RN50,clip,openai400M,ResNet50,Convolutional,Vision-Language,CLiP-ResNet50,"CLiP-ResNet50, a hybrid vision-language model.",clip,https://github.com/openai/CLIP,
RN101,clip,openai400M,ResNet101,Convolutional,Vision-Language,CLiP-ResNet101,"CLiP-ResNet101, a hybrid vision-language model.",clip,https://github.com/openai/CLIP,
RN50x4,clip,openai400M,ResNet50x4,Convolutional,Vision-Language,CLiP-ResNet50x4,"CLiP-ResNet50x4, a hybrid vision-language model.",clip,https://github.com/openai/CLIP,
RN50x16,clip,openai400M,ResNet50x16,Convolutional,Vision-Language,CLiP-ResNet50x16,"CLiP-ResNet50x16, a hybrid vision-language model.",clip,https://github.com/openai/CLIP,
RN50x64,clip,openai400M,ResNet50x64,Convolutional,Vision-Language,CLiP-ResNet50x64,"CLiP-ResNet50x64, a hybrid vision-language model.",clip,https://github.com/openai/CLIP,
ViT-B/32,clip,openai400M,ViT-B/32,Transformer,Vision-Language,CLiP-ViT-B/32,"CLiP-ViT-B/32, a hybrid vision-language model.",clip,https://github.com/openai/CLIP,
ViT-B/16,clip,openai400M,ViT-B/16,Transformer,Vision-Language,CLiP-ViT-B/32,"CLiP-ViT-B/32, a hybrid vision-language model.",clip,https://github.com/openai/CLIP,
ViT-L/14,clip,openai400M,ViT-L/14,Transformer,Vision-Language,CLiP-ViT-L/14,"CLiP-ViT-L/14, a hybrid vision-language model.",clip,https://github.com/openai/CLIP,
ResNet50-JigSaw-P100,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-JigSaw-P100,"ResNet50-JigSaw-P100, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/, https://dl.fbaipublicfiles.com/vissl/model_zoo/jigsaw_rn50_in1k_ep105_perm2k_jigsaw_8gpu_resnet_17_07_20.db174a43/model_final_checkpoint_phase104.torch
ResNet50-JigSaw-Goyal19,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-JigSaw-Goyal19,"ResNet50-JigSaw-Goyal19, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/, https://dl.fbaipublicfiles.com/vissl/model_zoo/converted_vissl_rn50_jigsaw_in1k_goyal19.torch
ResNet50-RotNet,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-RotNet,"ResNet50-RotNet, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/, https://dl.fbaipublicfiles.com/vissl/model_zoo/rotnet_rn50_in1k_ep105_rotnet_8gpu_resnet_17_07_20.46bada9f/model_final_checkpoint_phase125.torch
ResNet50-ClusterFit-16K-RotNet,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-ClusterFit-16K-RotNet,"ResNet50-ClusterFit-16K-RotNet, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/, https://dl.fbaipublicfiles.com/vissl/model_zoo/converted_vissl_rn50_rotnet_16kclusters_in1k_ep105.torch
ResNet50-NPID-4KNegative,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-NPID-4KNegative,"ResNet50-NPID-4KNegative, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/, https://dl.fbaipublicfiles.com/vissl/model_zoo/npid_1node_200ep_4kneg_npid_8gpu_resnet_23_07_20.9eb36512/model_final_checkpoint_phase199.torch
ResNet50-PIRL,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-PIRL,"ResNet50-PIRL, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/, https://dl.fbaipublicfiles.com/vissl/model_zoo/pirl_jigsaw_4node_pirl_jigsaw_4node_resnet_22_07_20.34377f59/model_final_checkpoint_phase799.torch
ResNet50-SimCLR,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-SimCLR,"ResNet50-SimCLR, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/, https://dl.fbaipublicfiles.com/vissl/model_zoo/simclr_rn50_1000ep_simclr_8node_resnet_16_07_20.afe428c7/model_final_checkpoint_phase999.torch
ResNet50-DeepClusterV2-2x224,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-DeepClusterV2,"ResNet50-DeepClusterV2-2x224, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/, https://dl.fbaipublicfiles.com/vissl/model_zoo/deepclusterv2_400ep_2x224_pretrain.pth.tar
ResNet50-DeepClusterV2-2x224+6x96,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-DeepClusterV2,"ResNet50-DeepClusterV2-2x224+6x96, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/, https://dl.fbaipublicfiles.com/vissl/model_zoo/deepclusterv2_800ep_pretrain.pth.tar
ResNet50-SwAV-BS4096-2x224,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-SwAV-BS4096,"ResNet50-SwAV-BS4096-2x224, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/, https://dl.fbaipublicfiles.com/vissl/model_zoo/swav_in1k_rn50_400ep_swav_8node_resnet_27_07_20.a5990fc9/model_final_checkpoint_phase399.torch
ResNet50-SwAV-BS4096-2x224+6x96,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-SwAV-BS4096,"ResNet50-SwAV-BS4096-2x224+6x96, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/, https://dl.fbaipublicfiles.com/vissl/model_zoo/swav_8node_2x224_rn50_in1k_swav_8node_resnet_30_07_20.c8fd7169/model_final_checkpoint_phase399.torch
ResNet50-MoCoV2-BS256,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-MoCoV2-BS256,"ResNet50-MoCoV2-BS256, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/, https://dl.fbaipublicfiles.com/vissl/model_zoo/moco_v2_1node_lr.03_step_b32_zero_init/model_final_checkpoint_phase199.torch
ResNet50-BarlowTwins-BS2048,selfsupervised,imagenet,ResNet50,Convolutional,Self-Supervised,ResNet50-BarlowTwins-BS2048,"ResNet50-BarlowTwins-BS2048, a self-supervised representation learner trained on ImageNet.",vissl,https://github.com/facebookresearch/vissl/, https://dl.fbaipublicfiles.com/vissl/model_zoo/barlow_twins/barlow_twins_32gpus_4node_imagenet1k_1000ep_resnet50.torch
dino_vits16,selfsupervised,imagenet,vits16,Transformer,SelfSupervised,Dino-VIT-S16,Dino-VIT-S16 trained via self supervision with the ImageNet dataset.,dino,https://github.com/facebookresearch/dino,
dino_vits8,selfsupervised,imagenet,vits8,Transformer,SelfSupervised,Dino-VIT-S8,Dino-VIT-S8 trained via self supervision with the ImageNet dataset.,dino,https://github.com/facebookresearch/dino,
dino_vitb16,selfsupervised,imagenet,vitb16,Transformer,SelfSupervised,Dino-VIT-B16,Dino-VIT-B16 trained via self supervision with the ImageNet dataset.,dino,https://github.com/facebookresearch/dino,
dino_vitb8,selfsupervised,imagenet,vitb8,Transformer,SelfSupervised,Dino-VIT-B8,Dino-VIT-B8 trained via self supervision with the ImageNet dataset.,dino,https://github.com/facebookresearch/dino,
dino_xcit_small_12_p16,selfsupervised,imagenet,xcit_small_12_p16,Transformer,SelfSupervised,Dino-XCIT-S12-P16,Dino-XCIT-S12-P16 trained via self supervision with the ImageNet dataset.,dino,https://github.com/facebookresearch/dino,
dino_xcit_small_12_p8,selfsupervised,imagenet,xcit_small_12_p8,Transformer,SelfSupervised,Dino-XCIT-S12-P8,Dino-XCIT-S12-P8 trained via self supervision with the ImageNet dataset.,dino,https://github.com/facebookresearch/dino,
dino_xcit_medium_24_p16,selfsupervised,imagenet,xcit_medium_24_p16,Transformer,SelfSupervised,Dino-XCIT-M24-P16,Dino-XCIT-M24-P16 trained via self supervision with the ImageNet dataset.,dino,https://github.com/facebookresearch/dino,
dino_xcit_medium_24_p8,selfsupervised,imagenet,xcit_medium_24_p8,Transformer,SelfSupervised,Dino-XCIT-M24-P8,Dino-XCIT-M24-P8 trained via self supervision with the ImageNet dataset.,dino,https://github.com/facebookresearch/dino,
dino_resnet50,selfsupervised,imagenet,resnet50,Convolutional,SelfSupervised,Dino-ResNet50,Dino-ResNet50 trained via self supervision with the ImageNet dataset.,dino,https://github.com/facebookresearch/dino,
DPT_Hybrid,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",DPT_Hybrid,Transformer,MonocularDepth,DPT-Hybrid,"DPT-Hybrid, a monocular depth estimation model.",midas,https://github.com/isl-org/MiDaS,
DPT_Large,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",DPT_Large,Transformer,MonocularDepth,DPT-Large,"DPT-Large, a monocular depth estimation model.",midas,https://github.com/isl-org/MiDaS,
MiDas,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",MiDas,Convolutional,MonocularDepth,MiDas,"MiDas, a monocular depth estimation model.",midas,https://github.com/isl-org/MiDaS,
MiDas_small,monoculardepth,"ReDWeb,DIML,Movies,MegaDepth,WSVD,TartanAir,HRWSI,ApolloScape,BlendedMVS,IRS",MiDas_small,Convolutional,MonocularDepth,MiDas-Small,"MiDas-Small, a monocular depth estimation model.",midas,https://github.com/isl-org/MiDaS,
yolov5l,yolo,"coco,voc",yolov5l,Convolutional,Detection,YOLO-V5-L,"YOLO-V5-L, an object detection model.",yolo,https://github.com/ultralytics/yolov5,
yolov5m,yolo,"coco,voc",yolov5m,Convolutional,Detection,YOLO-V5-M,"YOLO-V5-M, an object detection model.",yolo,https://github.com/ultralytics/yolov5,
yolov5n,yolo,"coco,voc",yolov5n,Convolutional,Detection,YOLO-V5-N,"YOLO-V5-N, an object detection model.",yolo,https://github.com/ultralytics/yolov5,
yolov5s,yolo,"coco,voc",yolov5s,Convolutional,Detection,YOLO-V5-S,"YOLO-V5-S, an object detection model.",yolo,https://github.com/ultralytics/yolov5,
yolov5x,yolo,"coco,voc",yolov5x,Convolutional,Detection,YOLO-V5-S,"YOLO-V5-S, an object detection model.",yolo,https://github.com/ultralytics/yolov5,
faster_rcnn_R_50_C4_3x,detection,coco2017,faster_rcnn_R_50_C4_3x,Convolutional,Detection|Segmentation,Faster-RCNN-ResNet50-C4,"Faster-RCNN-ResNet50-C4, trained on detection with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-Detection/faster_rcnn_R_50_C4_3x.yaml
faster_rcnn_R_50_DC5_3x,detection,coco2017,faster_rcnn_R_50_DC5_3x,Convolutional,Detection|Segmentation,Faster-RCNN-ResNet50-DC5,"Faster-RCNN-ResNet50-DC5, trained on detection with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-Detection/faster_rcnn_R_50_DC5_3x.yaml
faster_rcnn_R_50_FPN_3x,detection,coco2017,faster_rcnn_R_50_FPN_3x,Convolutional,Detection|Segmentation,Faster-RCNN-ResNet50-FPN,"Faster-RCNN-ResNet50-FPN, trained on detection with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-Detection/faster_rcnn_R_50_FPN_3x.yaml
faster_rcnn_R_101_C4_3x,detection,coco2017,faster_rcnn_R_101_C4_3x,Convolutional,Detection|Segmentation,Faster-RCNN-ResNet101-C4,"Faster-RCNN-ResNet101-C4, trained on detection with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-Detection/faster_rcnn_R_101_C4_3x.yaml
faster_rcnn_R_101_DC5_3x,detection,coco2017,faster_rcnn_R_101_DC5_3x,Convolutional,Detection|Segmentation,Faster-RCNN-ResNet101-DC5,"Faster-RCNN-ResNet101-DC5, trained on detection with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-Detection/faster_rcnn_R_101_DC5_3x.yaml
faster_rcnn_R_101_FPN_3x,detection,coco2017,faster_rcnn_R_101_FPN_3x,Convolutional,Detection|Segmentation,Faster-RCNN-ResNet101-FPN,"Faster-RCNN-ResNet101-FPN, trained on detection with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-Detection/faster_rcnn_R_101_FPN_3x.yaml
faster_rcnn_X_101_32x8d_FPN_3x,detection,coco2017,faster_rcnn_X_101_32x8d_FPN_3x,Convolutional,Detection|Segmentation,Faster-RCNN-X101-FPN,"Faster-RCNN-X101-FPN, trained on detection with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-Detection/faster_rcnn_X_101_32x8d_FPN_3x.yaml
retinanet_R_50_FPN_3x,detection,coco2017,retinanet_R_50_FPN_3x,Convolutional,Detection|Segmentation,RetinaNet-ResNet50-FPN,"RetinaNet-ResNet50-FPN, trained on detection with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-Detection/retinanet_R_50_FPN_3x.yaml
retinanet_R_101_FPN_3x,detection,coco2017,retinanet_R_101_FPN_3x,Convolutional,Detection|Segmentation,RetinaNet-ResNet101-FPN,"RetinaNet-ResNet101-FPN, trained on detection with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-Detection/retinanet_R_101_FPN_3x.yaml
mask_rcnn_R_50_C4_3x,segmentation,coco2017,mask_rcnn_R_50_C4_3x,Convolutional,Detection|Segmentation,Mask-RCNN-ResNet50-C4,"Mask-RCNN-ResNet50-C4, trained on segmentation with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-InstanceSegmentation/mask_rcnn_R_50_C4_3x.yaml
mask_rcnn_R_50_DC5_3x,segmentation,coco2017,mask_rcnn_R_50_DC5_3x,Convolutional,Detection|Segmentation,Mask-RCNN-ResNet50-DC5,"Mask-RCNN-ResNet50-DC5, trained on segmentation with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-InstanceSegmentation/mask_rcnn_R_50_DC5_3x.yaml
mask_rcnn_R_50_FPN_3x,segmentation,coco2017,mask_rcnn_R_50_FPN_3x,Convolutional,Detection|Segmentation,Mask-RCNN-ResNet50-FPN,"Mask-RCNN-ResNet50-FPN, trained on segmentation with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-InstanceSegmentation/mask_rcnn_R_50_FPN_3x.yaml
mask_rcnn_R_101_C4_3x,segmentation,coco2017,mask_rcnn_R_101_C4_3x,Convolutional,Detection|Segmentation,Mask-RCNN-ResNet101-C4,"Mask-RCNN-ResNet101-C4, trained on segmentation with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-InstanceSegmentation/mask_rcnn_R_101_C4_3x.yaml
mask_rcnn_R_101_DC5_3x,segmentation,coco2017,mask_rcnn_R_101_DC5_3x,Convolutional,Detection|Segmentation,Mask-RCNN-ResNet101-DC5,"Mask-RCNN-ResNet101-DC5, trained on segmentation with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-InstanceSegmentation/mask_rcnn_R_101_DC5_3x.yaml
mask_rcnn_R_101_FPN_3x,segmentation,coco2017,mask_rcnn_R_101_FPN_3x,Convolutional,Detection|Segmentation,Mask-RCNN-ResNet101-FPN,"Mask-RCNN-ResNet101-FPN, trained on segmentation with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-InstanceSegmentation/mask_rcnn_R_101_FPN_3x.yaml
mask_rcnn_X_101_32x8d_FPN_3x,segmentation,coco2017,mask_rcnn_X_101_32x8d_FPN_3x,Convolutional,Detection|Segmentation,Mask-RCNN-X101-FPN,"Mask-RCNN-X101-FPN, trained on segmentation with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-InstanceSegmentation/mask_rcnn_X_101_32x8d_FPN_3x.yaml
keypoint_rcnn_R_50_FPN_3x,segmentation,coco2017,keypoint_rcnn_R_50_FPN_3x,Convolutional,Detection|Segmentation,Keypoint-RCNN-ResNet50-FPN,"Keypoint-RCNN-ResNet50-FPN, trained on segmentation with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-Keypoints/keypoint_rcnn_R_50_FPN_3x.yaml
panoptic_fpn_R_50_3x,panoptics,coco2017,panoptic_fpn_R_50_3x,Convolutional,Detection|Segmentation,Panoptic-RCNN-ResNet50-FPN,"Panoptic-RCNN-ResNet50-FPN, trained on panoptics with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,COCO-PanopticSegmentation/panoptic_fpn_R_50_3x.yaml
mask_rcnn_R_50_FPN_1x,segmentation,LVIS,mask_rcnn_R_50_FPN_1x,Convolutional,Detection|Segmentation,LVIS-RCNN-ResNet50-FPN,"LVIS-RCNN-ResNet50-FPN, trained on segmentation with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,LVISv0.5-InstanceSegmentation/mask_rcnn_R_50_FPN_1x.yaml
mask_rcnn_R_101_FPN_1x,segmentation,LVIS,mask_rcnn_R_101_FPN_1x,Convolutional,Detection|Segmentation,LVIS-RCNN-ResNet101-FPN,"LVIS-RCNN-ResNet101-FPN, trained on segmentation with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,LVISv0.5-InstanceSegmentation/mask_rcnn_R_101_FPN_1x.yaml
mask_rcnn_X_101_32x8d_FPN_1x,segmentation,LVIS,mask_rcnn_X_101_32x8d_FPN_1x,Convolutional,Detection|Segmentation,LVIS-RCNN-X101-FPN,"LVIS-RCNN-X101-FPN, trained on segmentation with the CoCo2017 dataset.",detectron,https://github.com/facebookresearch/detectron2/,LVISv0.5-InstanceSegmentation/mask_rcnn_X_101_32x8d_FPN_1x.yaml
adv_inception_v3,adversarial,imagenet,inception_v3,Convolutional,Semantic,Adversarial-Inception-V3,Adversarial-Inception-V3 trained on adversarial classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
beit_base_patch16_224,bert_pretraining,imagenet,beit_base_patch16_224,Transformer,Semantic,BEiT-S-P16,BEiT-S-P16 trained on masked-input-pretrained classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
beit_large_patch16_224,bert_pretraining,imagenet,beit_large_patch16_224,Transformer,Semantic,BEiT-L-P16,BEiT-L-P16 trained on masked-input-pretrained classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
resnetv2_50x1_bitm,big_transfer,big_transfer,resnetv2_50x1,Convolutional,Semantic,ResNetV2-50x1-BitM,ResNetV2-50x1-BitM trained on large dataset pretraining with the BiT-M dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
resnetv2_101x3_bitm,big_transfer,big_transfer,resnetv2_101x3,Convolutional,Semantic,ResNetV2-101x3-BitM,ResNetV2-101x3-BitM trained on large dataset pretraining with the BiT-M dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
resnetv2_152x4_bitm,big_transfer,big_transfer,resnetv2_152x4,Convolutional,Semantic,ResNetV2-152x4-BitM,ResNetV2-152x4-BitM trained on large dataset pretraining with the BiT-M dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
resnetv2_50x1_bitm_in21k,big_transfer,big_transfer,resnetv2_50x1,Convolutional,Semantic,ResNetV2-50x1-BitM-IN21K,ResNetV2-50x1-BitM-IN21K trained on large dataset pretraining with the BiT-M dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
resnetv2_101x3_bitm_in21k,big_transfer,big_transfer,resnetv2_101x3,Convolutional,Semantic,ResNetV2-101x3-BitM-IN21K,ResNetV2-101x3-BitM-IN21K trained on large dataset pretraining with the BiT-M dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
resnetv2_152x4_bitm_in21k,big_transfer,big_transfer,resnetv2_152x4,Convolutional,Semantic,ResNetV2-152x4-BitM-IN21K,ResNetV2-152x4-BitM-IN21K trained on large dataset pretraining with the BiT-M dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
convnext_base_in22k,classification,imagenet21k,convnext_base,Convolutional,Semantic,ConvNext-Base-IN21K,ConvNext-Base-IN21K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
convnext_large_in22k,classification,imagenet21k,convnext_large,Convolutional,Semantic,ConvNext-Large-IN21K,ConvNext-Large-IN21K trained on image classification with the ImageNet21K dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
